Name           Type       MACs           CPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
LeakyRelu_150  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x256x16x24   1x256x16x24
Conv_153       Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
LeakyRelu_154  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_174       Conv       491,520        0.03%       201,728     0.23%       1,280      0.06%       1x128x16x24   1x128x16x24
Conv_182       Conv       491,520        0.03%       201,728     0.23%       1,280      0.06%       1x128x16x24   1x128x16x24
LeakyRelu_175  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
LeakyRelu_183  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_176       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
Conv_184       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
LeakyRelu_177  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
LeakyRelu_185  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_178       Conv       491,520        0.03%       201,728     0.23%       1,280      0.06%       1x128x16x24   1x128x16x24
Conv_186       Conv       491,520        0.03%       201,728     0.23%       1,280      0.06%       1x128x16x24   1x128x16x24
LeakyRelu_179  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
LeakyRelu_187  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_180       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
Conv_188       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
LeakyRelu_181  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
LeakyRelu_189  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_190       Conv       49,536         0.00%       2,052       0.00%       129        0.01%       1x128x16x24   1x1x16x24
Conv_191       Conv       198,144        0.01%       8,208       0.01%       516        0.02%       1x128x16x24   1x4x16x24
Conv_192       Conv       49,536         0.00%       2,052       0.00%       129        0.01%       1x128x16x24   1x1x16x24
Total          _          1,720,921,344  100%        86,458,560  100%        2,286,384  100%        _             _
